date,cash,positions_mv,equity,peak_equity,drawdown_from_peak,n_positions,exposure_pct,note
2026-09-17,100000.00,0.00,100000.00,100000.00,0.0000,0,0.0000,UNIVERSE_REDUCED|gate_off
2026-09-18,100000.00,0.00,100000.00,100000.00,0.0000,0,0.0000,UNIVERSE_REDUCED|gate_off
